total_price_excluding_optional_support,max_unit_price,avg_unit_price,min_unit_price,students_reached,posted_month,posted_dayofweek,total_quantity,primary_focus_subject,unique_items,primary_focus_area,school_metro,grade_level,resource_type,poverty_level,school_charter_t,school_magnet_t,label
853.98,399.99,399.99,399.99,8,2,4,2.0,Special Needs,1,Special Needs,urban,Grades PreK-2,Technology,highest poverty,False,False,1
573.56,16.25,16.25,16.25,90,2,0,30.0,Mathematics,1,Math & Science,rural,Grades 6-8,Technology,moderate poverty,False,False,1
314.0,125.29,125.29,125.29,450,7,2,2.0,Gym & Fitness,1,Health & Sports,rural,Grades 6-8,Supplies,highest poverty,False,False,0
268.1,42.1,9.569166667,4.67,120,7,4,24.0,Literacy,24,Literacy & Language,urban,Grades 9-12,Other,highest poverty,False,True,1
458.0,15.29,7.76125,3.59,20,4,6,48.0,Literacy,16,Literacy & Language,rural,Grades 6-8,Other,highest poverty,False,False,0
189.27,153.42,153.42,153.42,24,4,3,1.0,Environmental Science,1,Math & Science,urban,Grades PreK-2,Supplies,highest poverty,False,True,0
479.33,425.94,425.94,425.94,114,12,6,1.0,Literature & Writing,1,Literacy & Language,urban,Grades 9-12,Technology,highest poverty,False,False,1
473.0,84.43,37.62125,4.39,27,8,2,26.0,Literacy,8,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,1
201.54,169.0,169.0,169.0,25,12,5,1.0,Special Needs,1,Special Needs,suburban,Grades 6-8,Other,highest poverty,True,False,0
160.1,45.76,14.056,5.39,50,4,0,10.0,Literacy,10,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,1
601.25,550.99,550.99,550.99,24,11,3,1.0,Environmental Science,1,Math & Science,rural,Grades PreK-2,Technology,moderate poverty,False,False,0
312.35,10.93,10.93,10.93,325,9,3,25.0,Parent Involvement,1,Health & Sports,suburban,Grades 6-8,Other,highest poverty,False,False,0
189.06,62.99,34.99,6.99,28,3,6,4.0,Literacy,2,Literacy & Language,rural,Grades PreK-2,Technology,moderate poverty,False,False,1
496.15,44.99,44.99,44.99,125,7,5,10.0,Literature & Writing,1,Literacy & Language,suburban,Grades 6-8,Technology,moderate poverty,False,False,1
421.12,20.52,5.926727273,1.89,25,10,0,79.0,Literacy,55,Literacy & Language,rural,Grades 6-8,Other,highest poverty,False,False,1
564.62,169.99,169.99,169.99,40,3,4,3.0,Literature & Writing,1,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,True,False,1
422.77,305.87,178.415,50.96,31,8,5,2.0,Literacy,2,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,0
326.23,90.24,43.53166667,18.99,70,6,3,6.0,Character Education,6,Health & Sports,rural,Grades 6-8,Supplies,moderate poverty,False,False,0
747.32,229.99,229.99,229.99,140,7,6,3.0,Environmental Science,1,Math & Science,suburban,Grades 6-8,Technology,moderate poverty,False,False,1
405.43,22.86,11.9316129,4.37,300,9,1,31.0,Literacy,31,Literacy & Language,rural,Grades 9-12,Other,highest poverty,False,False,0
315.3,11.66,5.635918367,3.11,30,8,3,49.0,Literacy,49,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,1
351.04,17.77,8.026153846,0.89,25,12,3,123.0,Literacy,13,Literacy & Language,urban,Grades PreK-2,Supplies,highest poverty,False,False,1
174.85,85.49,39.97,11.4,115,9,4,5.0,Visual Arts,3,Music & The Arts,urban,Grades 9-12,Supplies,highest poverty,False,True,1
332.18,219.99,93.65666667,20.99,30,11,6,3.0,Visual Arts,3,Music & The Arts,suburban,Grades 6-8,Supplies,highest poverty,False,False,0
180.1,29.99,12.615,2.99,26,8,5,12.0,Mathematics,8,Math & Science,urban,Grades PreK-2,Supplies,highest poverty,True,False,1
686.44,629.99,629.99,629.99,350,2,6,1.0,Environmental Science,1,Math & Science,urban,Grades 6-8,Technology,highest poverty,False,False,1
454.0,46.08,46.08,46.08,50,3,3,8.0,Performing Arts,1,Music & The Arts,urban,Grades 9-12,Supplies,highest poverty,False,False,1
258.27,29.99,22.49,9.99,45,12,0,10.0,Literacy,10,Literacy & Language,rural,Grades PreK-2,Other,highest poverty,False,False,0
418.95,135.63,9.187073171,2.91,60,9,0,42.0,Literacy,41,Literacy & Language,urban,Grades 6-8,Other,highest poverty,True,False,1
262.16,104.95,40.48,13.99,24,4,3,7.0,Mathematics,4,Math & Science,urban,Grades 6-8,Supplies,highest poverty,True,False,0
217.4,29.95,29.95,29.95,25,3,5,6.0,Literacy,2,Literacy & Language,urban,Grades 6-8,Supplies,highest poverty,False,False,0
284.0,6.1,6.1,6.1,85,4,1,37.0,Literature & Writing,1,Literacy & Language,rural,Grades 9-12,Other,moderate poverty,False,False,1
219.77,29.95,22.755,18.88,21,10,0,8.0,Mathematics,8,Math & Science,urban,Grades 6-8,Supplies,highest poverty,False,False,1
290.7,69.99,39.59,0.99,50,8,3,15.0,Performing Arts,5,Music & The Arts,urban,Grades 9-12,Supplies,highest poverty,False,False,1
287.2,40.95,21.11666667,12.95,265,11,6,12.0,Health & Life Science,12,Math & Science,urban,Grades 6-8,Supplies,highest poverty,True,False,1
159.9,55.51,55.51,55.51,65,1,4,2.0,Mathematics,1,Math & Science,urban,Grades 6-8,Supplies,highest poverty,False,False,1
142.41,4.43,4.43,4.43,25,8,5,25.0,Literacy,1,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,1
471.44,429.99,429.99,429.99,30,8,2,1.0,Literacy,1,Literacy & Language,urban,Grades PreK-2,Technology,highest poverty,False,False,0
281.0,23.75,11.795,1.75,50,4,0,32.0,Music,9,Music & The Arts,suburban,Grades 6-8,Supplies,highest poverty,False,False,1
373.07,199.0,169.0,139.0,30,2,6,2.0,Mathematics,2,Math & Science,urban,Grades PreK-2,Other,highest poverty,False,False,0
516.18,479.0,479.0,479.0,52,10,4,1.0,Early Development,1,Health & Sports,urban,Grades PreK-2,Other,moderate poverty,True,False,0
516.74,469.99,469.99,469.99,101,10,5,1.0,Mathematics,1,Math & Science,urban,Grades 9-12,Technology,highest poverty,False,False,1
362.0,12.4,7.285,2.17,20,11,4,40.0,Literacy,2,Literacy & Language,rural,Grades PreK-2,Supplies,highest poverty,False,False,0
270.0,44.94,21.25857143,4.33,27,3,6,10.0,Parent Involvement,7,Health & Sports,urban,Grades PreK-2,Supplies,highest poverty,False,False,1
390.1,39.99,27.24,8.99,56,9,4,22.0,Literacy,4,Literacy & Language,urban,Grades 6-8,Supplies,highest poverty,False,False,1
483.99,409.5,221.175,32.85,200,12,2,2.0,History & Geography,2,History & Civics,urban,Grades 9-12,Supplies,highest poverty,False,False,1
167.38,12.58,7.245555556,4.43,19,1,4,18.0,Literacy,18,Literacy & Language,urban,Grades 9-12,Other,highest poverty,True,False,1
573.38,487.34,487.34,487.34,600,4,3,1.0,Sports,1,Health & Sports,urban,Grades 6-8,Supplies,highest poverty,True,False,0
228.85,95.0,47.7475,23.99,12,12,0,4.0,Literacy,4,Literacy & Language,suburban,Grades 6-8,Other,highest poverty,False,False,1
299.9,129.95,58.7275,2.24,45,9,1,8.0,Literacy,4,Literacy & Language,urban,Grades 6-8,Supplies,highest poverty,False,False,1
272.91,56.59,37.42333333,7.39,80,9,4,8.0,Literature & Writing,3,Literacy & Language,rural,Grades 9-12,Other,moderate poverty,False,False,1
434.26,42.99,19.13571429,0.99,100,10,0,51.0,Music,7,Music & The Arts,urban,Grades 6-8,Supplies,highest poverty,False,True,1
225.0,54.19,27.878,3.98,25,4,3,14.0,Literature & Writing,5,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,0
1227.0,0.0,0.0,0.0,60,4,4,0.0,Character Education,0,Math & Science,urban,Grades 9-12,Trips,highest poverty,True,False,1
813.26,38.47,29.23333333,23.59,78,7,4,26.0,Literature & Writing,3,Literacy & Language,rural,Grades 9-12,Supplies,highest poverty,False,False,0
419.68,379.0,379.0,379.0,14,2,2,1.0,Literature & Writing,1,Literacy & Language,rural,Grades PreK-2,Other,moderate poverty,False,False,0
500.95,442.0,231.995,21.99,30,9,4,2.0,Special Needs,2,Special Needs,suburban,Grades 6-8,Technology,moderate poverty,False,False,1
187.1,49.95,49.95,49.95,30,10,5,3.0,Literacy,1,Literacy & Language,urban,Grades PreK-2,Supplies,highest poverty,False,False,1
1160.67,229.0,139.245,49.49,110,10,4,8.0,Mathematics,2,Math & Science,urban,Grades 6-8,Technology,moderate poverty,False,False,1
552.53,81.41,44.29333333,8.45,50,10,0,11.0,Visual Arts,5,Music & The Arts,suburban,Grades 6-8,Supplies,moderate poverty,False,False,0
428.35,89.0,25.836,8.95,18,9,6,15.0,ESL,15,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,False,False,1
242.03,42.95,11.2875,4.34,125,10,5,32.0,Literacy,7,Literacy & Language,suburban,Grades 6-8,Other,low poverty,False,False,1
218.09,89.95,37.45,9.95,20,2,4,6.0,Mathematics,4,Math & Science,suburban,Grades PreK-2,Supplies,highest poverty,False,False,0
471.0,69.5,27.38928571,4.95,80,4,5,14.0,Literacy,14,Literacy & Language,suburban,Grades PreK-2,Other,moderate poverty,False,False,0
230.97,99.0,99.0,99.0,130,12,1,2.0,Mathematics,1,Math & Science,suburban,Grades 6-8,Technology,moderate poverty,False,False,1
591.05,99.74,99.74,99.74,20,9,4,5.0,Visual Arts,1,Music & The Arts,suburban,Grades 9-12,Technology,highest poverty,False,False,0
280.44,229.99,229.99,229.99,110,12,1,1.0,Literacy,1,Literacy & Language,urban,Grades 9-12,Technology,highest poverty,False,False,1
666.59,33.16,9.639,2.24,430,12,0,48.0,Visual Arts,10,Music & The Arts,suburban,Grades 6-8,Supplies,highest poverty,True,False,1
448.12,149.0,64.63333333,19.95,400,4,1,12.0,Health & Life Science,3,Math & Science,urban,Grades 6-8,Other,highest poverty,False,False,0
286.67,69.95,61.9875,59.0,200,9,2,4.0,Mathematics,4,Math & Science,urban,Grades PreK-2,Other,highest poverty,False,False,1
247.0,48.6,48.6,48.6,27,4,1,4.0,Literature & Writing,4,Literacy & Language,suburban,Grades 6-8,Other,highest poverty,False,False,1
824.76,712.79,712.79,712.79,60,8,6,1.0,Literature & Writing,1,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,False,True,0
375.0,24.98,19.6375,11.18,21,1,4,24.0,Literacy,4,Literacy & Language,rural,Grades 6-8,Supplies,moderate poverty,False,False,1
362.0,169.0,97.15,22.95,18,1,0,3.0,Literacy,3,Literacy & Language,rural,Grades PreK-2,Technology,highest poverty,False,False,1
223.78,173.79,173.79,173.79,150,9,3,1.0,Mathematics,1,Math & Science,suburban,Grades 6-8,Technology,moderate poverty,False,False,1
294.0,25.19,12.61125,0.52,24,1,1,28.0,Literacy,16,Literacy & Language,urban,Grades 6-8,Supplies,highest poverty,False,False,1
1777.69,1383.0,781.475,179.95,500,9,6,2.0,Mathematics,2,Math & Science,urban,Grades 9-12,Technology,highest poverty,False,True,0
858.92,99.99,99.99,99.99,10,12,4,8.0,Literacy,1,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,True,False,0
340.86,43.61,14.595,4.43,26,1,5,54.0,Literature & Writing,4,Literacy & Language,urban,Grades 6-8,Other,highest poverty,True,False,1
467.0,99.5,46.30666667,3.5,170,1,1,35.0,History & Geography,6,History & Civics,urban,Grades 6-8,Supplies,highest poverty,True,False,1
271.0,139.0,107.0,75.0,42,4,0,2.0,Literacy,2,Literacy & Language,rural,Grades 6-8,Other,highest poverty,False,False,1
484.72,399.0,224.0,49.0,54,7,3,2.0,Literacy,2,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,True,False,1
629.49,579.99,579.99,579.99,21,10,5,1.0,Literature & Writing,1,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,False,False,0
267.44,229.0,229.0,229.0,20,6,2,1.0,Literacy,1,Literacy & Language,urban,Grades 6-8,Supplies,highest poverty,False,False,1
711.04,13.13,7.868,5.1,24,3,1,99.0,Literature & Writing,5,Literacy & Language,suburban,Grades 6-8,Other,highest poverty,False,False,1
171.13,136.82,136.82,136.82,22,3,0,1.0,Literacy,1,Literacy & Language,suburban,Grades PreK-2,Technology,moderate poverty,False,False,0
239.99,199.99,199.99,199.99,100,8,1,1.0,Literacy,1,Literacy & Language,rural,Grades 6-8,Technology,highest poverty,False,False,0
189.51,80.99,47.05666667,7.99,400,12,2,5.0,Visual Arts,3,Music & The Arts,urban,Grades 6-8,Supplies,highest poverty,False,False,1
159.48,15.95,15.95,15.95,78,1,5,7.0,Mathematics,1,Math & Science,rural,Grades 6-8,Supplies,highest poverty,False,False,1
714.24,649.99,649.99,649.99,200,1,2,1.0,Health & Life Science,1,Math & Science,urban,Grades 6-8,Technology,highest poverty,False,False,1
467.0,149.99,94.99,39.99,30,2,4,4.0,Literacy,2,Literacy & Language,suburban,Grades 6-8,Technology,low poverty,False,False,1
279.84,28.49,17.09,9.49,15,9,0,13.0,Special Needs,4,Special Needs,urban,Grades PreK-2,Supplies,highest poverty,False,False,1
325.95,182.0,97.19333333,44.0,8,8,5,3.0,Special Needs,3,Special Needs,suburban,Grades 6-8,Supplies,moderate poverty,False,False,1
143.0,69.5,53.225,36.95,12,3,4,2.0,Health & Life Science,2,Math & Science,rural,Grades 6-8,Supplies,highest poverty,False,False,1
180.94,11.06,11.06,11.06,40,12,1,13.0,Literature & Writing,1,Literacy & Language,rural,Grades 6-8,Other,highest poverty,False,False,1
539.55,431.0,93.566,2.09,70,4,0,19.0,Visual Arts,5,Music & The Arts,urban,Grades 9-12,Supplies,highest poverty,False,False,0
395.7,10.97,10.97,10.97,700,9,2,30.0,Visual Arts,1,Music & The Arts,urban,Grades 6-8,Supplies,highest poverty,False,False,1
1526.91,48.05,40.67,33.29,200,10,6,31.0,Music,1,Music & The Arts,rural,Grades 9-12,Supplies,highest poverty,False,False,0
151.78,69.99,59.99,49.99,23,1,1,2.0,Environmental Science,2,Math & Science,urban,Grades PreK-2,Supplies,highest poverty,True,False,1
351.48,149.99,149.99,149.99,15,1,1,2.0,Literacy,1,Literacy & Language,rural,Grades 6-8,Technology,moderate poverty,False,False,0
426.0,49.95,9.01,3.55,23,4,1,61.0,Environmental Science,11,Math & Science,rural,Grades PreK-2,Other,highest poverty,False,False,0
615.37,259.99,149.99,39.99,600,1,6,3.0,Character Education,2,Math & Science,suburban,Grades 6-8,Technology,highest poverty,False,False,1
511.04,469.0,469.0,469.0,24,1,5,1.0,Literacy,1,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,True,False,1
563.6,472.0,472.0,472.0,40,1,6,1.0,Special Needs,1,Special Needs,urban,Grades 9-12,Technology,highest poverty,False,False,1
293.0,53.76,40.61666667,22.04,60,3,2,7.0,Social Sciences,3,History & Civics,suburban,Grades 6-8,Supplies,highest poverty,True,False,1
627.82,539.0,294.495,49.99,60,6,5,2.0,Literacy,2,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,0
752.48,399.99,349.99,299.99,23,10,6,2.0,Mathematics,2,Math & Science,suburban,Grades PreK-2,Technology,highest poverty,False,False,1
491.94,409.81,409.81,409.81,23,2,6,1.0,Special Needs,1,Special Needs,suburban,Grades 6-8,Technology,moderate poverty,True,False,0
141.0,28.41,13.54,9.45,115,3,2,8.0,Literacy,6,Literacy & Language,suburban,Grades 9-12,Supplies,highest poverty,False,False,1
638.8,29.99,29.99,29.99,90,11,0,20.0,Literature & Writing,1,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,True,False,0
235.69,179.99,179.99,179.99,30,8,0,1.0,Literacy,1,Literacy & Language,urban,Grades PreK-2,Technology,highest poverty,False,False,1
181.95,4.99,4.99,4.99,30,1,5,30.0,Literature & Writing,1,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,1
621.97,21.32,13.51,12.14,220,1,0,43.0,Visual Arts,9,Music & The Arts,urban,Grades 9-12,Supplies,highest poverty,False,False,1
215.0,28.8,20.925,19.8,500,4,0,8.0,Special Needs,8,Special Needs,urban,Grades 6-8,Other,highest poverty,True,False,0
415.71,16.63,5.507391304,2.88,30,10,6,69.0,Literacy,69,Literacy & Language,urban,Grades 6-8,Other,highest poverty,False,False,1
185.22,49.99,49.99,49.99,20,12,6,3.0,Literacy,1,Literacy & Language,suburban,Grades PreK-2,Supplies,moderate poverty,False,False,1
440.0,39.95,32.48181818,18.95,20,3,5,11.0,Performing Arts,11,Music & The Arts,suburban,Grades PreK-2,Supplies,highest poverty,False,False,0
487.05,179.0,45.03,24.95,29,9,6,10.0,Literacy,10,Literacy & Language,urban,Grades PreK-2,Other,highest poverty,True,False,0
365.67,59.2,23.66153846,9.95,115,8,1,13.0,Mathematics,12,Math & Science,suburban,Grades 6-8,Other,moderate poverty,False,False,1
676.29,619.99,619.99,619.99,35,7,6,1.0,ESL,1,Literacy & Language,urban,Grades 6-8,Technology,highest poverty,False,False,0
122.08,40.5,11.71428571,2.95,35,10,4,11.0,Early Development,7,Health & Sports,urban,Grades PreK-2,Supplies,highest poverty,False,False,1
438.97,94.99,57.225,4.74,26,12,2,10.0,Visual Arts,6,Music & The Arts,suburban,Grades PreK-2,Supplies,highest poverty,False,False,1
138.62,34.95,11.34428571,1.89,24,2,6,19.0,Literature & Writing,7,Literacy & Language,rural,Grades PreK-2,Supplies,highest poverty,False,False,1
1676.0,1399.99,1399.99,1399.99,150,4,0,1.0,Special Needs,1,Special Needs,urban,Grades 9-12,Technology,highest poverty,False,False,0
200.34,77.36,77.36,77.36,19,2,5,2.0,Literacy,1,Literacy & Language,suburban,Grades PreK-2,Other,highest poverty,False,False,0
388.2,60.16,44.00428571,38.66,630,10,0,8.0,Literacy,7,Literacy & Language,rural,Grades PreK-2,Other,moderate poverty,False,False,1
450.11,299.99,204.49,108.99,80,3,3,2.0,Music,0,Music & The Arts,suburban,Grades 6-8,Supplies,highest poverty,False,False,0
682.57,599.0,319.0,39.0,11,2,1,2.0,Special Needs,2,Special Needs,suburban,Grades PreK-2,Technology,moderate poverty,False,False,1
336.62,13.75,13.75,13.75,80,11,1,20.0,Mathematics,1,Math & Science,rural,Grades 6-8,Technology,moderate poverty,False,False,1
854.96,199.99,199.99,199.99,150,7,1,4.0,Literacy,1,Literacy & Language,urban,Grades 9-12,Technology,highest poverty,False,True,1
479.9,16.14,16.14,16.14,25,8,5,25.0,Literature & Writing,1,Literacy & Language,urban,Grades 6-8,Supplies,highest poverty,False,False,1
955.0,13.59,13.19,12.79,30,4,1,60.0,Literacy,2,Literacy & Language,urban,Grades 6-8,Other,moderate poverty,False,False,1
467.0,379.88,379.88,379.88,24,9,0,1.0,Literacy,1,Literacy & Language,rural,Grades PreK-2,Supplies,moderate poverty,False,False,1
883.0,399.99,146.086,76.49,17,4,4,5.0,Literature & Writing,5,Literacy & Language,rural,Grades PreK-2,Technology,highest poverty,False,False,0
